"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","uuid_generate_v4()"
"apartment_id","uuid","YES","null"
"guest_name","character varying","NO","null"
"guests_count","integer","YES","null"
"guest_email","character varying","YES","null"
"guest_phone","character varying","YES","null"
"check_in","date","NO","null"
"check_out","date","NO","null"
"source","USER-DEFINED","YES","'manual'::reservation_source"
"notes","text","YES","null"
"source_id","character varying","YES","null"
"created_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"updated_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"total_price","numeric","YES","null"
"cleaning_fee","numeric","YES","null"
"currency","character varying","YES","'EUR'::character varying"
"payment_status","character varying","YES","'pending'::character varying"
"payment_method","character varying","YES","null"
"deposit_amount","numeric","YES","null"
"guest_country","character varying","YES","null"
"guest_language","character varying","YES","null"
"special_requests","text","YES","null"
"estimated_arrival_time","time without time zone","YES","null"
"actual_arrival_time","time without time zone","YES","null"
"check_in_notes","text","YES","null"
"check_out_notes","text","YES","null"